retailer,product_id,product_name,brand,color,sale_price,regular_price,on_sale,material,stretch,rise,fit,url,description
Kohls,7755027,Women's LC Lauren Conrad Super High Rise True Straight Jeans,LC Lauren Conrad,Lc Willow Wash,39.99,44.99,true,"78% cotton, 18% recycled polyester, 5% rayon, 1% spandex",Yes,Super high rise sits on the natural waistline,Straight,https://www.kohls.com/product/prd-7755027/,Women's LC Lauren Conrad Super High Rise True Straight Jeans
Kohls,7755027,Women's LC Lauren Conrad Super High Rise True Straight Jeans,LC Lauren Conrad,Black,39.99,44.99,true,"78% cotton, 18% recycled polyester, 5% rayon, 1% spandex",Yes,Super high rise sits on the natural waistline,Straight,https://www.kohls.com/product/prd-7755027/,Women's LC Lauren Conrad Super High Rise True Straight Jeans
Kohls,7755027,Women's LC Lauren Conrad Super High Rise True Straight Jeans,LC Lauren Conrad,Med Wash,39.99,44.99,true,"78% cotton, 18% recycled polyester, 5% rayon, 1% spandex",Yes,Super high rise sits on the natural waistline,Straight,https://www.kohls.com/product/prd-7755027/,Women's LC Lauren Conrad Super High Rise True Straight Jeans
Kohls,7755027,Women's LC Lauren Conrad Super High Rise True Straight Jeans,LC Lauren Conrad,Light Wash,39.99,44.99,true,"78% cotton, 18% recycled polyester, 5% rayon, 1% spandex",Yes,Super high rise sits on the natural waistline,Straight,https://www.kohls.com/product/prd-7755027/,Women's LC Lauren Conrad Super High Rise True Straight Jeans
Kohls,7755027,Women's LC Lauren Conrad Super High Rise True Straight Jeans,LC Lauren Conrad,Century Pink,39.99,44.99,true,"78% cotton, 18% recycled polyester, 5% rayon, 1% spandex",Yes,Super high rise sits on the natural waistline,Straight,https://www.kohls.com/product/prd-7755027/,Women's LC Lauren Conrad Super High Rise True Straight Jeans
Kohls,7755027,Women's LC Lauren Conrad Super High Rise True Straight Jeans,LC Lauren Conrad,Dark Rinse Denim,39.99,44.99,true,"78% cotton, 18% recycled polyester, 5% rayon, 1% spandex",Yes,Super high rise sits on the natural waistline,Straight,https://www.kohls.com/product/prd-7755027/,Women's LC Lauren Conrad Super High Rise True Straight Jeans
Kohls,7755027,Women's LC Lauren Conrad Super High Rise True Straight Jeans,LC Lauren Conrad,Lc Romelle Wash,39.99,44.99,true,"78% cotton, 18% recycled polyester, 5% rayon, 1% spandex",Yes,Super high rise sits on the natural waistline,Straight,https://www.kohls.com/product/prd-7755027/,Women's LC Lauren Conrad Super High Rise True Straight Jeans
Kohls,7755027,Women's LC Lauren Conrad Super High Rise True Straight Jeans,LC Lauren Conrad,Lc Smith Wash,39.99,44.99,true,"78% cotton, 18% recycled polyester, 5% rayon, 1% spandex",Yes,Super high rise sits on the natural waistline,Straight,https://www.kohls.com/product/prd-7755027/,Women's LC Lauren Conrad Super High Rise True Straight Jeans
Kohls,7623445,Women's Sonoma Goods For Life® Mid-Rise Bootcut Jeans,Sonoma Goods For Life,Deep Blue Wash,29.99,34.99,true,Denim construction,No,Midrise sits on the high hip,Bootcut,https://www.kohls.com/product/prd-7623445/,Women's Sonoma Goods For Life® Mid-Rise Bootcut Jeans
Kohls,7623445,Women's Sonoma Goods For Life® Mid-Rise Bootcut Jeans,Sonoma Goods For Life,Bright Medium Blue,29.99,34.99,true,Denim construction,No,Midrise sits on the high hip,Bootcut,https://www.kohls.com/product/prd-7623445/,Women's Sonoma Goods For Life® Mid-Rise Bootcut Jeans
Kohls,7623445,Women's Sonoma Goods For Life® Mid-Rise Bootcut Jeans,Sonoma Goods For Life,Rinse Wash,29.99,34.99,true,Denim construction,No,Midrise sits on the high hip,Bootcut,https://www.kohls.com/product/prd-7623445/,Women's Sonoma Goods For Life® Mid-Rise Bootcut Jeans
Kohls,7623445,Women's Sonoma Goods For Life® Mid-Rise Bootcut Jeans,Sonoma Goods For Life,Medium Blue Wash,29.99,34.99,true,Denim construction,No,Midrise sits on the high hip,Bootcut,https://www.kohls.com/product/prd-7623445/,Women's Sonoma Goods For Life® Mid-Rise Bootcut Jeans
Kohls,7623445,Women's Sonoma Goods For Life® Mid-Rise Bootcut Jeans,Sonoma Goods For Life,Black Wash,29.99,34.99,true,Denim construction,No,Midrise sits on the high hip,Bootcut,https://www.kohls.com/product/prd-7623445/,Women's Sonoma Goods For Life® Mid-Rise Bootcut Jeans
Kohls,7626908,Women's Sonoma Goods For Life® Curvy High-Rise Straight Leg Jeans,Sonoma Goods For Life,Bright Dark Wash,29.99,34.99,true,"Cotton, elastane",Yes,High rise sits below the natural waistline,Straight,https://www.kohls.com/product/prd-7626908/,Women's Sonoma Goods For Life® Curvy High-Rise Straight Leg Jeans
Kohls,7626908,Women's Sonoma Goods For Life® Curvy High-Rise Straight Leg Jeans,Sonoma Goods For Life,Dark Wash,29.99,34.99,true,"Cotton, elastane",Yes,High rise sits below the natural waistline,Straight,https://www.kohls.com/product/prd-7626908/,Women's Sonoma Goods For Life® Curvy High-Rise Straight Leg Jeans
Kohls,7626908,Women's Sonoma Goods For Life® Curvy High-Rise Straight Leg Jeans,Sonoma Goods For Life,Super Light Wash,29.99,34.99,true,"Cotton, elastane",Yes,High rise sits below the natural waistline,Straight,https://www.kohls.com/product/prd-7626908/,Women's Sonoma Goods For Life® Curvy High-Rise Straight Leg Jeans
Kohls,7626908,Women's Sonoma Goods For Life® Curvy High-Rise Straight Leg Jeans,Sonoma Goods For Life,Medium Wash,29.99,34.99,true,"Cotton, elastane",Yes,High rise sits below the natural waistline,Straight,https://www.kohls.com/product/prd-7626908/,Women's Sonoma Goods For Life® Curvy High-Rise Straight Leg Jeans
Kohls,7626908,Women's Sonoma Goods For Life® Curvy High-Rise Straight Leg Jeans,Sonoma Goods For Life,Rinse,29.99,34.99,true,"Cotton, elastane",Yes,High rise sits below the natural waistline,Straight,https://www.kohls.com/product/prd-7626908/,Women's Sonoma Goods For Life® Curvy High-Rise Straight Leg Jeans
Kohls,7626908,Women's Sonoma Goods For Life® Curvy High-Rise Straight Leg Jeans,Sonoma Goods For Life,Bright Medium Wash,29.99,34.99,true,"Cotton, elastane",Yes,High rise sits below the natural waistline,Straight,https://www.kohls.com/product/prd-7626908/,Women's Sonoma Goods For Life® Curvy High-Rise Straight Leg Jeans
Kohls,7919968,Women's Sonoma Goods For Life Mid Rise Utility Barrel Jeans,Sonoma Goods For Life,Dark Wash,39.99,44.99,true,"78% Cotton, 20% recycled cotton, 2% elastane",Yes,Midrise sits on the high hip,Barrel,https://www.kohls.com/product/prd-7919968/,Women's Sonoma Goods For Life Mid Rise Utility Barrel Jeans
Kohls,7919968,Women's Sonoma Goods For Life Mid Rise Utility Barrel Jeans,Sonoma Goods For Life,Vinatge Medium Wash,39.99,44.99,true,"78% Cotton, 20% recycled cotton, 2% elastane",Yes,Midrise sits on the high hip,Barrel,https://www.kohls.com/product/prd-7919968/,Women's Sonoma Goods For Life Mid Rise Utility Barrel Jeans
Kohls,6836368,Juniors' SO® Low Rise Baggy Jeans,SO,Medium Destructed,,39.99,,"Cotton, spandex",Yes,Low rise baggy jeans,Baggy,https://www.kohls.com/product/prd-6836368/,Juniors' SO® Low Rise Baggy Jeans
Kohls,6836368,Juniors' SO® Low Rise Baggy Jeans,SO,Light Destructed,,39.99,,"Cotton, spandex",Yes,Low rise baggy jeans,Baggy,https://www.kohls.com/product/prd-6836368/,Juniors' SO® Low Rise Baggy Jeans
Kohls,6836368,Juniors' SO® Low Rise Baggy Jeans,SO,Clean Medium,,39.99,,"Cotton, spandex",Yes,Low rise baggy jeans,Baggy,https://www.kohls.com/product/prd-6836368/,Juniors' SO® Low Rise Baggy Jeans
Kohls,6836368,Juniors' SO® Low Rise Baggy Jeans,SO,Dark Wash,,39.99,,"Cotton, spandex",Yes,Low rise baggy jeans,Baggy,https://www.kohls.com/product/prd-6836368/,Juniors' SO® Low Rise Baggy Jeans
